ID	SITE	SPECIES	FIRSTCEN	DEATHYEAR	HT83	HT84	HT85	HT86	HT87	HT88	HT89	HT90	HT91	HT92	HT93	HT94	HT95	HT96	HT97	HT98	HT99	HT00	HGRO8384	HGRO8485	HGRO8586	HGRO8687	HGRO8788	HGRO8889	HGRO8990	HGRO9091	HGRO9192	HGRO9293	HGRO9394	HGRO9495	HGRO9596	HGRO9697	HGRO9798	HGRO9899	HGRO9900	DIA83	DIA84	DIA85	DIA86	DIA87	DIA88	DIA89	DIA90	DIA91	DIA92	DIA93	DIA94	DIA95	DIA96	DIA97	DIA98	DIA99	DIA00	DGRO8384	DGRO8485	DGRO8586	DGRO8687	DGRO8788	DGRO8889	DGRO8990	DGRO9091	DGRO9192	DGRO9293	DGRO9394	DGRO9495	DGRO9596	DGRO9697	DGRO9798	DGRO9899	DGRO9900	HOW83	HOW84	HOW85	HOW86	HOW87	HOW88	HOW89	HOW90	HOW91	HOW92	HOW93	HOW94	HOW95	HOW96	HOW97	HOW98	HOW99	HOW00	HTMED83	HTMED84	HTMED85	HTMED86	HTMED87	HTMED88	HTMED89	HTMED90	HTMED91	HTMED92	HTMED93	HTMED94	HTMED95	HTMED96	HTMED97	HTMED98	HTMED99	HTMED00	DATE83	DATE84	DATE85	DATE86	DATE87	DATE88	DATE89	DATE90	DATE91	DATE92	DATE93	DATE94	DATE95	DATE96	DATE97	DATE98	DATE99	DATE00	STMCON84	STMCON85	STMCON86	STMCON87	STMCON88	STMCON89	STMCON90	STMCON91	STMCON92	STMCON93	STMCON94	STMCON95	STMCON96	STMCON97	STMCON98	STMCON99	STMCON00	CRNPO83	CRNPO84	CRNPO85	CRNPO86	CRNPO87	CRNPO88	CRNPO89	CRNPO90	CRNPO91	CRNPO92	CRNPO93	CRNPO94	CRNPO95	CRNPO96	CRNPO97	CRNPO98	CRNPO99	CRNPO00	CRNABV1	HAB83	HAB84	HAB85	HAB86	HAB87	HAB88	HAB89	HAB90	HAB91	HAB92	HAB93	HAB94	HAB95	HAB96	HAB97	HAB98	HAB99	HAB00
50121	CCL   404	MG	1983	1993	22	29	37	39	45	45	49	59	65	65	-999	-999	-999	-999	-999	-999	-999	-999	7.8	8.5	2	6.1	0	4	9.8	5.9	0	-999	-999	-999	-999	-999	-999	-999	-999	4.3	4.7	5.4	5.6	7.7	7.2	7.5	7.8	5	5.3	9003	-999	-999	-999	-999	-999	-999	-999	0.4	0.7	0.2	2.1	-999	0.3	0.3	1	0.3	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	0	0	0	OM	0M	0M	0M	0M	20M	20M	-999	-999	-999	-999	-999	-999	-999	-999	4/24/1983	3/16/1984	2/21/1985	2/27/1986	2/20/1987	2/25/1988	2/22/1989	3/2/1990	3/8/1991	3/10/1992	2/15/1993	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	N	N	N	N	N	N	N	N	N	-999	-999	-999	-999	-999	-999	-999	-999	2	1.5	1.75	1.5	1.5	1.75	1.5	2	1.5	1.5	-999	-999	-999	-999	-999	-999	-999	-999	1	2	3.5	4	4	4	4	4	3	3	3	4	-999	-999	-999	-999	-999	-999	-999
7012	CCL   408	HA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	900	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	DEN	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	450	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	999	999	999	999	-999	4/23/1983	3/16/1984	2/21/1985	2/27/1986	2/18/1987	2/25/1988	2/22/1989	3/2/1990	3/8/1991	3/10/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/17/1997	3/20/1998	2/25/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	4	4	4	4.5	5	4	4	4.5	4	4.5	4	4	4	4	4	5	4	4	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
7068	CCL   450	HA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	790	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	DEN	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	450	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	999	999	999	999	-999	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/2/1990	3/11/1991	3/10/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/17/1997	3/20/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	4	4	4.5	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
50118	CCL   450	MG	1983	-999	-999	1446	1405	1465	1464	1483	1547	1558	1566	1635	1630	1570	1600	1633	1655	-999	-999	-999	-999	-41	57.8	-1	18.7	64.5	10.8	7.8	69	-5	-60	29	33	20.9	-999	-999	-999	95	95	96	99	100	100	100	102	103	104	104	104	105	105	105	105	105	105	0	1.1	2.9	1	0	0	2	1	1	0	0	1	0	0	0	0	0	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	-999	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/2/1990	3/11/1991	3/10/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/17/1997	3/20/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2	1.75	2.25	2	2	2	2.5	2	1.5	1.5	1.5	1.75	1.5	1.5	1.5	1.5	1.5	1.75	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
99160	CCL   450	DP	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	690	-999	-999	750	759	766	773	777	786	789	796	797	805	810	819	819	824	827	-999	-999	-999	-999	6.9	7	3.9	8.8	3	7.5	1	7.7	5	8.6	0	5.3	3	DEN	-999	-999	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	450	-999	-999	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/25/1988	2/22/1989	3/2/1990	3/11/1991	3/10/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/17/1997	3/20/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	5	4.5	5	5	5	5	5	4.5	4.5	5	4	4.5	4.5	4	4	5	5	4	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
99161	CCL   450	DP	1983	1988	111	76	87	93	97	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-35	11.7	5.8	4.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.9	7.5	7.3	7.5	8	9003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.7	-0.2	0.2	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	CAL	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	42M	42	42M	42M	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	N	D	D	N	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.5	1.5	1.5	2	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	3	4	4	4	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
99162	CCL   450	DP	1983	1992	52	61	60	63	62	70	65	73	73	-999	-999	-999	-999	-999	-999	-999	-999	-999	10	-1	2.9	-1	7.9	-5	7.8	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	4.3	4.5	5.1	5.1	4.5	4.7	4.7	4.9	9003	-999	-999	-999	-999	-999	-999	-999	-999	0.3	0.2	0.6	0	-0.6	0.2	0	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	40M	40	40M	40M	40M	40M	40M	40M	-999	-999	-999	-999	-999	-999	-999	-999	-999	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/25/1988	2/22/1989	3/2/1990	3/11/1991	3/10/1992	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	N	N	N	N	N	N	N	N	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.5	1.5	1.5	1.5	1.5	1.5	2	2	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	3	4	4	4	4	4	4	4	4	4	-999	-999	-999	-999	-999	-999	-999	-999
50119	CCL   450	MG	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	201	206	211	216	219	207	209	211	214	214	214	214	216	217	217	219	220	221	5.6	5.3	4.8	3.1	4.9	2	2	2.9	0	0	0	1.9	1	0	2	1.1	1	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	1000	1000	1000	1000	1000	300	300	300	300	300	300	300	300	300	300	300	300	300	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/2/1990	3/11/1991	3/11/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/18/1997	3/20/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	3	2.75	3	2.5	3	2.75	2.5	2.5	2	2.5	2	2	3	2.25	2	2.5	2	2	0	2	3.5	3	3.5	3.5	3.5	3.5	4	4	4	4	4	4	4	4	4	4	4
99176	CCL   457	DP	1983	1984	69	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4.2	9004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6/19/1983	3/16/1984	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	-999	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
7069	CCL   495	HA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1030	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	DEN	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	525	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	999	999	999	999	-999	4/23/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/2/1990	3/11/1991	3/11/1992	2/15/1993	2/14/1994	2/27/1995	2/27/1996	3/18/1997	3/20/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	4	4	5	5	4.5	5	4.5	4	4.5	4	4	4	4	4	4	4	4	4	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
6065	CCL   503	LA	1983	1985	76	61	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.4	2.6	9006	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	33M	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4/24/1983	3/16/1984	1/27/1985	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	N	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	2	3	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
9994	CCL   503	DP	1983	1985	57	52	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.9	2.7	9004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	37M	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4/24/1983	3/16/1984	1/27/1985	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	N	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.5	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	3	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
50122	CCL   510	MG	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	132	134	136	137	137	137	137	137	139	143	148	153	161	167	172	175	176	189	2.2	2.1	1	0	0	0	0	2	4	5.4	5	7.7	6	4.8	3	1.1	12.9	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	4/24/1983	3/16/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/2/1990	3/11/1991	3/11/1992	2/15/1993	2/14/1994	2/27/1995	3/1/1996	3/18/1997	3/23/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	3	2.5	2	2.25	1.75	2	2.5	2	3	3	3	3.5	3	3	3	3.5	3	3	1	1.5	4	4	3.5	4	4	4	4	3	3	3.5	3	4	4	4	4	4	4
7070	CCL   550	HA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1020	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	DEN	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	600	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	999	999	999	999	-999	4/24/1983	3/26/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/5/1990	3/11/1991	3/11/1992	2/15/1993	2/14/1994	2/27/1995	3/1/1996	3/18/1997	3/23/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	5	4.5	5	5	5	5	5	5	5	4.5	4	4.5	4	5	4	4	5	4	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
9997	CCL   570	DP	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	714	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CIN	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	450	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	999	999	999	999	-999	4/26/1983	3/26/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/5/1990	3/11/1991	3/11/1992	2/16/1993	2/14/1994	2/28/1995	3/1/1996	3/18/1997	3/23/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	5	4.5	4.5	4.5	4.5	5	5	4.5	4	4.5	4.5	4	4.5	5	5	5	5	5	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
99175	CCL   615	DP	1983	-999	-999	1410	1284	956	1022	1225	1290	1377	1150	1345	1374	1375	1344	1273	1245	1270	1271	1350	-999	-126	-328	68.8	199.7	65.5	84.5	-227	194.5	31	1	-31	-71	-28	24.7	1.1	78.1	80	80	80	82	83	84	84	84	85	85	85	85	85	85	85	86	87	88	0	0	1.9	1	1	0	0	1	0	0	0	0	0	0	1	1.1	1	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	6/19/1983	3/26/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/22/1989	3/5/1990	3/11/1991	3/11/1992	2/16/1993	2/14/1994	2/28/1995	3/1/1996	3/18/1997	3/23/1998	2/26/1999	3/1/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2	1.75	2	2.5	2.5	2.5	2.5	2	1.5	1.5	1.75	1.5	1.5	1.5	1.5	1.5	1.5	1.75	1	1.5	3.5	4	3	3.5	3.5	4	3	4	4	4	4	4	4	4	4	4	4
6067	CCL   635	LA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	140	142	143	145	147	155	162	165	172	180	181	181	185	185	185	186	186	186	2.2	1.1	1.9	2.1	7.9	6.9	3	6.9	8	1.1	0	3.9	0	0	1	0	0	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	4/24/1983	3/26/1984	2/21/1985	3/7/1986	2/20/1987	2/26/1988	2/28/1989	3/5/1990	3/11/1991	3/11/1992	2/16/1993	2/14/1994	2/28/1995	3/1/1996	3/18/1997	3/23/1998	2/26/1999	3/1/2000	D	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2	2	2	2.25	2.5	2.5	2.5	2.25	2.5	2	2	2	2	2	2	2	2	2	2	-999	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
8049	CCL   640	HM	1983	-999	-999	-999	-999	-999	1617	1653	1724	1802	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	35.6	71	76.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	96	96	97	99	99	101	103	107	112	117	119	122	123	125	127	129	133	137	0	1	2	0	2	2	3.9	4.9	5	2.1	3	1	2	1.9	1.9	4.3	3.9	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	6/19/1983	3/26/1984	3/12/1985	3/11/1986	2/25/1987	2/29/1988	2/28/1989	3/6/1990	3/12/1991	3/13/1992	2/16/1993	2/16/1994	3/2/1995	3/4/1996	3/19/1997	3/30/1998	3/1/1999	3/9/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2	1.75	2	2.5	3	3.5	3.5	3	3.5	3.5	3	3	3	2.5	3	3	3.5	3	1	2	3.5	3	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4
8050	CCL   640	HM	1983	-999	338	329	340	310	304	362	347	420	434	455	444	467	485	476	487	475	457	464	-9	11.4	-30	-6	57.4	-15	71.8	13.8	20.9	-11	23.1	17.3	-9	10.6	-12	-18	6.8	13.5	14.4	14.6	15.7	15.9	17.8	19.7	21.8	22	23	23.2	23.2	23.5	23.5	23.5	23.9	24	25	1.2	0.2	1.1	0.2	1.9	1.9	2.1	0.2	1	0.2	0	0.3	0	0	0.4	0.1	1	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	130	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	129M	6/19/1983	3/26/1984	3/12/1985	3/11/1986	2/25/1987	2/29/1988	2/28/1989	3/6/1990	3/12/1991	3/13/1992	2/17/1993	2/16/1994	3/2/1995	3/4/1996	3/19/1997	3/30/1998	3/1/1999	3/9/2000	N	D	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1.5	1.75	1.5	2	2.5	2.5	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2	3	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4
60239	CCL   640	LA	1983	-999	384	408	424	450	430	180	221	292	295	320	311	312	316	350	355	366	375	375	31.2	16.6	26.1	-20	-250	40.8	70.2	3	24.9	-9	1	3.9	33.7	4.8	10.7	9.8	0	26.3	26.3	27.9	28.4	28.7	9.7	12.1	13.1	14	14	14	14	15.3	15.9	16.9	18.1	19.2	20.5	0	1.7	0.5	0.3	-999	2.4	1	0.9	0	0	0	1.3	0.6	1	1.2	1.2	1.3	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	130	135M	135M	135M	135M	72MD	72MD	72M	72M	72M	72M	72M	72M	72M	72M	72M	72M	72M	6/19/1983	3/26/1984	3/12/1985	3/11/1986	2/25/1987	2/29/1988	3/2/1989	3/6/1990	3/12/1991	3/13/1992	2/17/1993	2/16/1994	3/2/1995	3/4/1996	3/19/1997	3/30/1998	3/1/1999	3/9/2000	N	N	N	N	D	D	D	D	D	D	D	D	D	D	D	D	D	2	2	1.5	2	2	2	2	2	2	2	1.75	1.5	2	2	2	1.5	1.5	2	1	3	4	4	3.5	4	4	4	4	4	4	4	4	4	4	4	4	4	4
60121	CCL   650	LA	1983	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	751	758	764	766	771	778	782	787	795	803	808	812	818	823	828	833	833	835	7.7	6.2	2	5.2	6.9	4	4.9	7.9	8	5.4	4	5.8	5	4.8	4.9	0	2	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	CIN	300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	4/28/1983	3/26/1984	3/12/1985	3/11/1986	2/25/1987	2/29/1988	3/2/1989	3/6/1990	3/12/1991	3/13/1992	2/17/1993	2/17/1994	3/2/1995	3/4/1996	3/19/1997	3/30/1998	3/2/1999	3/9/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	5	5	5	5	5	5	5	5	4	5	5	5	5	4	4	4	4	5	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
